videoId,author,publishedAt,likeCount,search_keyword,video_title,teks_bersih,hashtags,text,teks_bersih_lower,label sentiment,clean_teks,stem_teks
6b1MGWf2YmE,@TugasOnline.,2025-05-19T15:00:19Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Gk peduli lebih kaya mana  intinya mobil gua gtr r35 udah syukur & seneng hehe,#exoticcarsbandung #shorts,Gk peduli lebih kaya mana 😂 intinya mobil gua gtr r35 udah syukur & seneng hehe,gk peduli lebih kaya mana  intinya mobil gua gtr r35 udah syukur & seneng hehe,netral,peduli kaya mobil gtr r35 syukur seneng hehe,peduli kaya mobil gtr r35 syukur neng hehe
6b1MGWf2YmE,@vibesbillionaire,2025-05-16T07:20:05Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,P by one(B1),#exoticcarsbandung #shorts,P by one(B1),p by one(b1),netral,p one,p one
6b1MGWf2YmE,@shofashowtv5247,2025-05-16T01:58:31Z,1,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama Plat Kendaraan.

 Hanya orang miskin yang menilai kekayaan dari nomor Plat.",#exoticcarsbandung #shorts,"Orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama Plat Kendaraan.

😂😅 Hanya orang miskin yang menilai kekayaan dari nomor Plat.😅😂","orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama plat kendaraan.

 hanya orang miskin yang menilai kekayaan dari nomor plat.",positif,orang kaya saldo asetnya hubungan kendaraan orang miskin menilai kekayaan nomor,orang kaya saldo aset hubung kendara orang miskin nilai kaya nomor
6b1MGWf2YmE,@jakamaulanaputra1832,2025-05-11T02:41:47Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Nah ini asli,#exoticcarsbandung #shorts,Nah ini asli,nah ini asli,negatif,asli,asli
6b1MGWf2YmE,@BaliDroneServices,2025-05-10T08:23:44Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Bukan Brio terbaru pula tuh. Itu kan Brio RS tahun 2018 ya? Astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,#exoticcarsbandung #shorts,Bukan Brio terbaru pula tuh. Itu kan Brio RS tahun 2018 ya? Astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,bukan brio terbaru pula tuh. itu kan brio  tahun 2018 ya? astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,netral,brio terbaru brio 2018 astagah mahalan pajak nopolnya drpd service bulanannya dikalikan 12,brio baru brio 2018 astagah mahal pajak nopolnya drpd service bulan kali 12
6b1MGWf2YmE,@angel_bloodfallen,2025-05-06T03:53:27Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!,#exoticcarsbandung #shorts,Udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!,udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!,netral,lu tu kaya miskin bersyukurlah,lu tu kaya miskin syukur
6b1MGWf2YmE,@L44NG,2025-05-05T07:29:07Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,NGGAK MAHAL KALO MASIH SAINGAN SAMA ORG SUSAH COBA KEDUBAI SAINGANNYA ORG BENERAN KAYA,#exoticcarsbandung #shorts,NGGAK MAHAL KALO MASIH SAINGAN SAMA ORG SUSAH COBA KEDUBAI SAINGANNYA ORG BENERAN KAYA💀,nggak mahal kalo masih saingan sama org susah coba kedubai saingannya org beneran kaya,netral,mahal kalo saingan org susah kedubai saingannya org beneran kaya,mahal kalo saing org susah kedubai saing org beneran kaya
6b1MGWf2YmE,@Obelix-n8f,2025-05-05T06:42:17Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Gak mungkin,#exoticcarsbandung #shorts,Gak mungkin,gak mungkin,netral,,
6b1MGWf2YmE,@boykekhadafi5980,2025-05-04T11:41:52Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio LCGC...,#exoticcarsbandung #shorts,Mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio LCGC...😂😂😂😂😂😂😂,mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio lcgc...,positif,nomor harga 1 miliar g merubah mobil brio mobil koeniseg lambo aj brio lcgc,nomor harga 1 miliar g rubah mobil brio mobil koeniseg lambo aj brio lcgc
6b1MGWf2YmE,@sky_indonesia17,2025-05-04T07:08:57Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"MOBIL MOBIL NGEBUT TU GA COCOK BUAT DIJALAN PADAT DAN RAME, ENTAR MALAH NABRAK BISA-BISA",#exoticcarsbandung #shorts,"MOBIL MOBIL NGEBUT TU GA COCOK BUAT DIJALAN PADAT DAN RAME, ENTAR MALAH NABRAK BISA-BISA","mobil mobil ngebut tu ga cocok buat dijalan padat dan rame, entar malah nabrak bisa-bisa",positif,mobil mobil ngebut tu cocok dijalan padat rame entar nabrak bisa-bisa,mobil mobil ngebut tu cocok jalan padat rame entar nabrak bisa
6b1MGWf2YmE,@Neat_CH,2025-05-03T01:24:53Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,kata sprot car : anjay bisa kek gitu ya,#exoticcarsbandung #shorts,kata sprot car : anjay bisa kek gitu ya,kata sprot car : anjay bisa kek gitu ya,netral,sprot car kek,sprot car kek
6b1MGWf2YmE,@dedikirawan6747,2025-04-27T00:05:41Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,wow,#exoticcarsbandung #shorts,wow,wow,netral,wow,wow
6b1MGWf2YmE,@YoggiPramana,2025-04-25T08:08:34Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Percuma kaya harta, tapi kalau MISKIN HATI",#exoticcarsbandung #shorts,"Percuma kaya harta, tapi kalau MISKIN HATI😂😂😂","percuma kaya harta, tapi kalau miskin hati",netral,kaya harta miskin hati,kaya harta miskin hati
6b1MGWf2YmE,@monangsirait8044,2025-04-25T02:13:05Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Sama2 tol.ol,#exoticcarsbandung #shorts,Sama2 tol.ol😂😂,sama2 tol.ol,positif,sama2 tol.ol,sama2 tol ol
6b1MGWf2YmE,@Satriolanggengharyadi,2025-04-25T00:22:08Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Tetap R 1 = PRABOWO,#exoticcarsbandung #shorts,Tetap R 1 = PRABOWO,tetap r 1 itu prabowo,netral,r 1 prabowo,r 1 prabowo
6b1MGWf2YmE,@sriwahyuti-cf4wm,2025-04-24T13:37:23Z,1,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Tu harga mobil sama platnya mahalan plat nomernya,#exoticcarsbandung #shorts,Tu harga mobil sama platnya mahalan plat nomernya,tu harga mobil sama platnya mahalan plat nomernya,positif,tu harga mobil platnya mahalan nomernya,tu harga mobil platnya mahal nomernya
6b1MGWf2YmE,@atmchanel9784,2025-04-24T13:10:12Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Diajak satu lawan satu gak tuh 
Sebenernya dia sedekah ke Negara karna setiap dia keluar dia slalu kena tilang  trima kasih orang baik ",#exoticcarsbandung #shorts,"Diajak satu lawan satu gak tuh 😂
Sebenernya dia sedekah ke Negara karna setiap dia keluar dia slalu kena tilang 😅 trima kasih orang baik 🙏","diajak satu lawan satu gak tuh 
sebenernya dia sedekah ke negara karna setiap dia keluar dia slalu kena tilang  trima kasih orang baik ",netral,diajak lawan sebenernya sedekah negara karna kena tilang trima orang,ajak lawan sebenernya sedekah negara karna kena tilang trima orang
6b1MGWf2YmE,@Mashaa222,2025-04-22T14:17:07Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Koenigseg vs brio 
Jadi lebih sultan brio gitu?
wkwkwk",#exoticcarsbandung #shorts,"Koenigseg vs brio 😅
Jadi lebih sultan brio gitu?
😁wkwkwk","koenigseg vs brio 
jadi lebih sultan brio gitu?
wkwkwk",positif,koenigseg vs brio sultan brio,koenigseg vs brio sultan brio
6b1MGWf2YmE,@Musikataid,2025-04-22T08:53:49Z,1,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Pemilik hypermobil Esemka ""punten""",#exoticcarsbandung #shorts,"Pemilik hypermobil Esemka ""punten""","pemilik hypermobil esemka ""punten""",netral,pemilik hypermobil esemka punten,milik hypermobil esemka punten
6b1MGWf2YmE,@redzaharisabdillah9931,2025-04-21T07:28:21Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Nomor cantik mobil tertuang dalam Peraturan Pemerintah (PP) Nomor 60 Tahun 2016 mengenai Jenis dan Tarif PNB (Penerimaan Negara Bukan Pajak) yang berlaku pada Polri dan Keputusan Kakorlantas Polri Nomor : Kep/166/VII/2019 tentang NRKB Pilihan, plat nmr 1 digit dan tanpa huruf dibelakangnya dibandrol 20jt per 5 tahun, seandainya ada orang berminat dengan pelat nomor tersebut mungkin bisa saja menawar kepada pemilik sebelumnya dengan harga suka-suka. ",#exoticcarsbandung #shorts,"Nomor cantik mobil tertuang dalam Peraturan Pemerintah (PP) Nomor 60 Tahun 2016 mengenai Jenis dan Tarif PNB (Penerimaan Negara Bukan Pajak) yang berlaku pada Polri dan Keputusan Kakorlantas Polri Nomor : Kep/166/VII/2019 tentang NRKB Pilihan, plat nmr 1 digit dan tanpa huruf dibelakangnya dibandrol 20jt per 5 tahun, seandainya ada orang berminat dengan pelat nomor tersebut mungkin bisa saja menawar kepada pemilik sebelumnya dengan harga suka-suka. 😂😊","nomor cantik mobil tertuang dalam peraturan pemerintah (pp) nomor 60 tahun 2016 mengenai jenis dan tarif pnb (penerimaan negara bukan pajak) yang berlaku pada polri dan keputusan kakorlantas polri nomor : kep/166/vii/2019 tentang nrkb pilihan, plat nmr 1 digit dan tanpa huruf dibelakangnya dibandrol 20jt per 5 tahun, seandainya ada orang berminat dengan pelat nomor tersebut mungkin bisa saja menawar kepada pemilik sebelumnya dengan harga suka-suka. ",netral,nomor cantik mobil tertuang peraturan pemerintah pp nomor 60 2016 jenis tarif pnb penerimaan negara pajak berlaku polri keputusan kakorlantas polri nomor kep/166/vii/2019 nrkb pilihan nmr 1 digit huruf dibelakangnya dibandrol 20jt 5 seandainya orang berminat nomor menawar pemilik harga suka-suka,nomor cantik mobil tuang atur perintah pp nomor 60 2016 jenis tarif pnb terima negara pajak laku polri putus kakorlantas polri nomor kep 166 vii 2019 nrkb pilih nmr 1 digit huruf belakang dibandrol 20jt 5 anda orang minat nomor tawar milik harga suka
6b1MGWf2YmE,@mayari191,2025-04-20T16:02:29Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Emg mahal seh custom plat..gw aja custom plat mobil gw nama gw sama taon nikah gw kena 15jt cuk..tp bayar pajak nya biasa aja hehe tp ga tau ya kl plat 1 doank gtu..setahu gw kata sales nya yg paling mahal tu kl angka nya susah atw kembar gtu seh,#exoticcarsbandung #shorts,Emg mahal seh custom plat..gw aja custom plat mobil gw nama gw sama taon nikah gw kena 15jt cuk..tp bayar pajak nya biasa aja hehe tp ga tau ya kl plat 1 doank gtu..setahu gw kata sales nya yg paling mahal tu kl angka nya susah atw kembar gtu seh,emg mahal seh custom plat..gw aja custom plat mobil gw nama gw sama taon nikah gw kena 15jt cuk..tp bayar pajak nya biasa aja hehe tp ga tau ya kl plat 1 doank gtu..setahu gw kata sales nya yg paling mahal tu kl angka nya susah atw kembar gtu seh,negatif,mahal seh custom custom mobil nama taon nikah kena 15jt bayar pajak hehe tau kl 1 doank gtu setahu sales mahal tu kl angka susah atw kembar gtu seh,mahal seh custom custom mobil nama taon nikah kena 15jt bayar pajak hehe tau kl 1 doank gtu tahu sales mahal tu kl angka susah atw kembar gtu seh
6b1MGWf2YmE,@arifhidayatullah4330,2025-04-19T13:52:09Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,bikin di tukang plat 150rb kl yg bisa nyala akrilik 500rb. kaya kaya ndasmu,#exoticcarsbandung #shorts,bikin di tukang plat 150rb kl yg bisa nyala akrilik 500rb. kaya kaya ndasmu,bikin di tukang plat 150rb kl yg bisa nyala akrilik 500rb. kaya kaya ndasmu,positif,bikin tukang 150rb kl nyala akrilik 500rb kaya kaya,bikin tukang 150rb kl nyala akrilik 500rb kaya kaya
6b1MGWf2YmE,@Diana-ps2lu,2025-04-18T22:14:07Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Pernah dpt mobil accord dng plat no N 1 ko, pas tangan pertamanya tp waktu d jual ke saya plat no nya dah berganti byasa 4 digit....,..",#exoticcarsbandung #shorts,"Pernah dpt mobil accord dng plat no N 1 ko, pas tangan pertamanya😅 tp waktu d jual ke saya plat no nya dah berganti byasa 4 digit....,..","pernah dpt mobil accord dng plat no n 1 ko, pas tangan pertamanya tp waktu d jual ke saya plat no nya dah berganti byasa 4 digit....,..",negatif,dpt mobil accord dng n 1 pas tangan pertamanya jual berganti byasa 4 digit,dpt mobil accord dng n 1 pas tangan pertama jual ganti byasa 4 digit
6b1MGWf2YmE,@hendrosusilo810,2025-04-18T07:39:47Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Orang kaya itu yg melakukan 2 raka'at sebelum subuh.,#exoticcarsbandung #shorts,Orang kaya itu yg melakukan 2 raka'at sebelum subuh.,orang kaya itu yg melakukan 2 raka'at sebelum subuh.,netral,orang kaya 2 raka'at subuh,orang kaya 2 raka at subuh
6b1MGWf2YmE,@Andi-wb5dw,2025-04-18T03:38:57Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Flat doang. Goblok emang gengsi konoha,#exoticcarsbandung #shorts,Flat doang. Goblok emang gengsi konoha,flat doang. goblok emang gengsi konoha,positif,flat doang goblok gengsi konoha,flat doang goblok gengsi konoha
6b1MGWf2YmE,@frostx-md4ev,2025-04-17T18:18:48Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Pajak plat aja ga nyampe pajak senna,#exoticcarsbandung #shorts,Pajak plat aja ga nyampe pajak senna 😂,pajak plat aja ga nyampe pajak senna,positif,pajak nyampe pajak senna,pajak nyampe pajak senna
6b1MGWf2YmE,@madamanime1867,2025-04-17T08:19:18Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Harganya sama speknya beda yang pertama enak dipandang yang kedua biasa saja, yang pertama top speed yang kedua secepat motor beat, yang pertama impian semua orang, yang kedua semua orang hampir punya karena murah.",#exoticcarsbandung #shorts,"Harganya sama speknya beda yang pertama enak dipandang yang kedua biasa saja, yang pertama top speed yang kedua secepat motor beat, yang pertama impian semua orang, yang kedua semua orang hampir punya karena murah.😂😂😂😂","harganya sama speknya beda yang pertama enak dipandang yang kedua biasa saja, yang pertama top speed yang kedua secepat motor beat, yang pertama impian semua orang, yang kedua semua orang hampir punya karena murah.",positif,harganya speknya beda enak dipandang top speed secepat motor beat impian orang orang murah,harga speknya beda enak pandang top speed cepat motor beat impi orang orang murah
6b1MGWf2YmE,@expedisialam00-00,2025-04-16T18:28:37Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Plat palsu cek di pajak gak ada,#exoticcarsbandung #shorts,Plat palsu cek di pajak gak ada,plat palsu cek di pajak gak ada,positif,palsu cek pajak,palsu cek pajak
6b1MGWf2YmE,@Anggota1-e2u,2025-04-16T08:52:56Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Harga koenieggsegg jesko aja 45 Miliar masa plat nomer 20 juta lebih mahal,#exoticcarsbandung #shorts,Harga koenieggsegg jesko aja 45 Miliar masa plat nomer 20 juta lebih mahal😂,harga koenieggsegg jesko aja 45 miliar masa plat nomer 20 juta lebih mahal,positif,harga koenieggsegg jesko 45 miliar nomer 20 juta mahal,harga koenieggsegg jesko 45 miliar nomer 20 juta mahal
6b1MGWf2YmE,@boyboy-xr9uj,2025-04-16T05:44:41Z,1,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Orang kaya adalah orang yang banyak hartanya dengan cara yg halal,#exoticcarsbandung #shorts,Orang kaya adalah orang yang banyak hartanya dengan cara yg halal,orang kaya adalah orang yang banyak hartanya dengan cara yg halal,netral,orang kaya orang hartanya halal,orang kaya orang harta halal
6b1MGWf2YmE,@Suryojokochannel,2025-04-15T01:24:29Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Izin remix bang,#exoticcarsbandung #shorts,Izin remix bang,izin remix bang,netral,izin remix bang,izin remix bang
6b1MGWf2YmE,@AyuSimanjuntak-q6x,2025-04-14T21:19:20Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Setau aku yang nama nya orang kaya itu berani buang buang uang di depan orang banyak, kalo masi buat sendiri gak usah ngaku kaya.",#exoticcarsbandung #shorts,"Setau aku yang nama nya orang kaya itu berani buang buang uang di depan orang banyak, kalo masi buat sendiri gak usah ngaku kaya.","setau aku yang nama nya orang kaya itu berani buang buang uang di depan orang banyak, kalo masi buat sendiri gak usah ngaku kaya.",positif,setau nama orang kaya buang buang uang orang kalo masi ngaku kaya,tau nama orang kaya buang buang uang orang kalo mas ngaku kaya
6b1MGWf2YmE,@deddygiririndjani635,2025-04-14T12:59:55Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Mobil nya hond Brio plat no nya B 1,#exoticcarsbandung #shorts,Mobil nya hond Brio plat no nya B 1 😫🤑,mobil nya honda brio plat no nya b 1,netral,mobil honda brio b 1,mobil honda brio b 1
6b1MGWf2YmE,@galerypabboto6465,2025-04-13T17:46:03Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Banyak di pinggir jalan atau di shopee custom nomer plat,#exoticcarsbandung #shorts,Banyak di pinggir jalan atau di shopee custom nomer plat😂,banyak di pinggir jalan atau di shopee custom nomer plat,negatif,pinggir jalan shopee custom nomer,pinggir jalan shopee custom nomer
6b1MGWf2YmE,@pejuang_solos,2025-04-11T13:42:30Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Plat nomor 1 njir,#exoticcarsbandung #shorts,Plat nomor 1 njir🗿,plat nomor 1 njir,netral,nomor 1,nomor 1
6b1MGWf2YmE,@lemandsmith6343,2025-04-11T07:08:00Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Di Jambi ada yg keren 
BH 514 PA",#exoticcarsbandung #shorts,"Di Jambi ada yg keren 
BH 514 PA","di jambi ada yg keren 
bh 514 pa",netral,jambi keren bh 514 pa,jambi keren bh 514 pa
6b1MGWf2YmE,@behappy4j4,2025-04-11T03:12:56Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Kasta tertinggi lcgc 1200cc ya brio,#exoticcarsbandung #shorts,Kasta tertinggi lcgc 1200cc ya brio,kasta tertinggi lcgc 1200cc ya brio,negatif,kasta tertinggi lcgc 1200cc brio,kasta tinggi lcgc 1200cc brio
